Profile by Address
00000000 ( 40.06%:   2115) Address 0
00016a68 (  0.00%:      0) vorbis_comment_init
00016adc (  0.00%:      0) vorbis_comment_query
00016bb0 (  0.00%:      0) vorbis_comment_query_count
00016c60 (  0.00%:      0) vorbis_comment_clear
00016cec (  0.00%:      0) vorbis_info_blocksize
00016d00 (  0.00%:      0) vorbis_info_init
00016d48 (  0.00%:      0) vorbis_info_clear
00016ef8 (  0.00%:      0) vorbis_dsp_headerin
00017514 (  0.00%:      0) mapping_clear_info
00017590 (  0.02%:      1) mapping_info_unpack
000177e4 (  1.59%:     84) mapping_inverse
00017c84 (  0.04%:      2) mdct_unroll_lap
00017f00 (  0.02%:      1) mdct_backward
00018244 (  0.00%:      0) _VDBG_dump
000182a8 (  0.00%:      0) _VDBG_malloc
000183f4 (  0.00%:      0) _VDBG_free
0001841c (  0.00%:      0) res_clear_info
0001846c (  0.00%:      0) res_unpack
00018680 (  1.86%:     98) res_inverse
00019b7c (  0.00%:      0) ov_clear
00019d20 (  0.00%:      0) ov_test_callbacks
00019d60 (  0.00%:      0) ov_test
00019dac (  0.00%:      0) ov_streams
00019db4 (  0.00%:      0) ov_seekable
00019dbc (  0.00%:      0) ov_time_total
00019e80 (  0.00%:      0) ov_bitrate
0001a008 (  0.00%:      0) ov_bitrate_instant
0001a084 (  0.00%:      0) ov_serialnumber
0001a0fc (  0.00%:      0) ov_raw_total
0001a1ac (  0.00%:      0) ov_pcm_total
0001a250 (  0.00%:      0) ov_raw_seek
0001ab40 (  0.00%:      0) ov_test_open
0001ab58 (  0.00%:      0) ov_open_callbacks
0001abb0 (  0.00%:      0) ov_open
0001abfc (  0.00%:      0) ov_pcm_seek_page
0001b4a4 (  0.00%:      0) ov_pcm_seek
0001b8c8 (  0.00%:      0) ov_time_seek
0001ba48 (  0.00%:      0) ov_time_seek_page
0001bbc8 (  0.00%:      0) ov_raw_tell
0001bbec (  0.00%:      0) ov_pcm_tell
0001bc10 (  0.00%:      0) ov_time_tell
0001bd2c (  0.00%:      0) ov_info
0001bd70 (  0.00%:      0) ov_comment
0001bdb4 (  0.09%:      5) ov_read
0001be94 (  0.00%:      0) mdct_unroll_prelap
0001bf34 (  0.06%:      3) mdct_unroll_postlap
0001bff8 (  3.43%:    181) mdct_unroll_part2
0001c050 (  1.21%:     64) mdct_unroll_part3
0001c0a8 (  0.85%:     45) mdct_shift_right
0001c104 ( 14.45%:    763) mdct_backwardARM
0001c998 (  6.04%:    319) decode_packed_entry_number
0001cb58 (  0.00%:      0) stmiaTest
0001cbbc (  0.00%:      0) strTest
0001cc3c (  0.00%:      0) smullTest
0001cc80 (  0.00%:      0) __udivdi3
0001d1f0 (  0.00%:      0) __aeabi_drsub
0001d1f8 (  0.00%:      0) __aeabi_dsub
0001d1f8 (  0.00%:      0) __subdf3
0001d1fc (  0.00%:      0) __adddf3
0001d1fc (  0.00%:      0) __aeabi_dadd
0001d4dc (  0.00%:      0) __aeabi_ui2d
0001d4dc (  0.00%:      0) __floatunsidf
0001d500 (  0.00%:      0) __floatsidf
0001d500 (  0.00%:      0) __aeabi_i2d
0001d528 (  0.00%:      0) __extendsfdf2
0001d528 (  0.00%:      0) __aeabi_f2d
0001d568 (  0.00%:      0) __aeabi_ul2d
0001d568 (  0.00%:      0) __floatundidf
0001d57c (  0.00%:      0) __floatdidf
0001d57c (  0.00%:      0) __aeabi_l2d
0001d5dc (  0.00%:      0) __aeabi_dmul
0001d5dc (  0.00%:      0) __muldf3
0001d904 (  0.00%:      0) __aeabi_ddiv
0001d904 (  0.00%:      0) __divdf3
0001db08 (  0.00%:      0) __modsi3
0001dbec (  0.30%:     16) __divsi3
0001dd14 (  0.00%:      0) __aeabi_idivmod
0001dd2c (  0.04%:      2) __udivsi3
0001de24 (  0.00%:      0) __aeabi_uidivmod
0001de3c (  0.00%:      0) __divdi3
0001e3f8 (  0.00%:      0) __umodsi3
0001e4c4 (  0.00%:      0) __aeabi_ldiv0
0001e4c4 (  0.00%:      0) __div0
0001e4c4 (  0.00%:      0) __aeabi_idiv0
0001e4c8 (  0.00%:      0) _XcptFilter
0001e4d4 (  0.00%:      0) __C_specific_handler
0001e4e0 (  0.00%:      0) LocalFree
0001e4ec (  0.00%:      0) vsprintf
0001e4f8 (  0.57%:     30) OutputDebugStringW
0001e504 (  0.00%:      0) fopen
0001e510 (  0.00%:      0) fwrite
0001e51c (  0.00%:      0) fread
0001e528 (  0.00%:      0) GetThreadTimes
0001e534 (  0.00%:      0) Sleep
0001e540 (  0.04%:      2) fputc
0001e54c (  0.00%:      0) fclose
0001e558 (  0.00%:      0) memset
0001e564 (  0.00%:      0) GetThreadContext
0001e570 (  0.00%:      0) malloc
0001e57c (  0.00%:      0) CreateThread
0001e588 (  0.00%:      0) SetThreadPriority
0001e594 (  0.00%:      0) free
0001e5a0 (  0.00%:      0) calloc
0001e5ac (  0.00%:      0) realloc
0001e5b8 (  0.00%:      0) memchr
0001e5c4 (  0.00%:      0) toupper
0001e5d0 (  0.00%:      0) strlen
0001e5dc (  0.00%:      0) strcpy
0001e5e8 (  0.00%:      0) memcmp
0001e5f4 (  0.00%:      0) _getstdfilex
0001e600 (  0.00%:      0) fprintf
0001e60c (  0.00%:      0) fseek
0001e618 (  0.00%:      0) memcpy
0001e624 (  0.00%:      0) ftell
0001f418 (  0.00%:      0) start_time
00028764 (  0.00%:      0) FLOOR_fromdB_LOOKUP
00028b88 (  0.00%:      0) sincos_lookup0
00029b90 (  0.00%:      0) sincos_lookup1
0002ada4 (  0.00%:      0) __clz_tab
0002d014 (  0.00%:      0) global_bytes
0002d030 (  0.00%:      0) __onexitbegin
0002d034 (  0.00%:      0) __onexitend
0002d038 (  0.00%:      0) _exitflag
0002d03c (  0.00%:      0) pcmout
0002e03c (  0.00%:      0) ref
0002f03c (  0.00%:      0) text
0003003c (  0.00%:      0) speedblock
00039000 (  0.00%:      0) __IMPORT_DESCRIPTOR_COREDLL
00039014 (  0.00%:      0) __NULL_IMPORT_DESCRIPTOR
000390b8 (  0.00%:      0) __imp__XcptFilter
000390bc (  0.00%:      0) __imp___C_specific_handler
000390c0 (  0.00%:      0) __imp_LocalFree
000390c4 (  0.00%:      0) __imp_vsprintf
000390c8 (  0.00%:      0) __imp_OutputDebugStringW
000390cc (  0.00%:      0) __imp_fopen
000390d0 (  0.00%:      0) __imp_fwrite
000390d4 (  0.00%:      0) __imp_fread
000390d8 (  0.00%:      0) __imp_GetThreadTimes
000390dc (  0.00%:      0) __imp_Sleep
000390e0 (  0.00%:      0) __imp_fputc
000390e4 (  0.00%:      0) __imp_fclose
000390e8 (  0.00%:      0) __imp_memset
000390ec (  0.00%:      0) __imp_GetThreadContext
000390f0 (  0.00%:      0) __imp_malloc
000390f4 (  0.00%:      0) __imp_CreateThread
000390f8 (  0.00%:      0) __imp_SetThreadPriority
000390fc (  0.00%:      0) __imp_free
00039100 (  0.00%:      0) __imp_calloc
00039104 (  0.00%:      0) __imp_realloc
00039108 (  0.00%:      0) __imp_memchr
0003910c (  0.00%:      0) __imp_toupper
00039110 (  0.00%:      0) __imp_strlen
00039114 (  0.00%:      0) __imp_strcpy
00039118 (  0.00%:      0) __imp_memcmp
0003911c (  0.00%:      0) __imp__getstdfilex
00039120 (  0.00%:      0) __imp_fprintf
00039124 (  0.00%:      0) __imp_fseek
00039128 (  0.00%:      0) __imp_memcpy
0003912c (  0.00%:      0) __imp_ftell
0003a000 (  0.00%:      0) __xc_a
0003a004 (  0.00%:      0) __xc_z
0003a008 (  0.00%:      0) __xi_a
0003a00c (  0.00%:      0) __xi_z
0003a010 (  0.00%:      0) __xp_a
0003a014 (  0.00%:      0) __xp_z
0003a018 (  0.00%:      0) __xt_a
0003a01c (  0.00%:      0) __xt_z


Profile by Time
00000000 ( 40.06%:   2115) Address 0
0001c104 ( 14.45%:    763) mdct_backwardARM
00012ff0 (  7.61%:    402) decode_map
0001c998 (  6.04%:    319) decode_packed_entry_number
000151b8 (  4.89%:    258) floor1_inverse2
000134a4 (  4.30%:    227) vorbis_book_decodevv_add
0001bff8 (  3.43%:    181) mdct_unroll_part2
00015f40 (  2.90%:    153) ogg_sync_pageseek
00018680 (  1.86%:     98) res_inverse
00011a98 (  1.84%:     97) oggpack_bits
000177e4 (  1.59%:     84) mapping_inverse
00011ad4 (  1.55%:     82) oggpack_look
0001c050 (  1.21%:     64) mdct_unroll_part3
00015588 (  1.19%:     63) ogg_buffer_dup
000127d0 (  1.08%:     57) vorbis_book_unpack
00011bf8 (  0.97%:     51) oggpack_adv
0001c0a8 (  0.85%:     45) mdct_shift_right
0001e4f8 (  0.57%:     30) OutputDebugStringW
00014e9c (  0.49%:     26) floor1_inverse1
00011978 (  0.42%:     22) Profile_init
000164e4 (  0.40%:     21) ogg_packet_release
000133b0 (  0.32%:     17) vorbis_book_decodev_set
0001dbec (  0.30%:     16) __divsi3
0001636c (  0.21%:     11) ogg_stream_pagein
00015c28 (  0.15%:      8) ogg_page_serialno
00015de8 (  0.13%:      7) ogg_sync_bufferin
00015d90 (  0.11%:      6) ogg_sync_destroy
00015f00 (  0.11%:      6) ogg_page_release
00015b60 (  0.11%:      6) ogg_page_granulepos
0001bdb4 (  0.09%:      5) ov_read
000162cc (  0.08%:      4) ogg_stream_destroy
00015ea4 (  0.08%:      4) ogg_sync_wrote
00015a60 (  0.08%:      4) ogg_page_version
0001bf34 (  0.06%:      3) mdct_unroll_postlap
00016454 (  0.06%:      3) ogg_stream_reset
0001e540 (  0.04%:      2) fputc
00014804 (  0.04%:      2) floor1_info_unpack
0001474c (  0.04%:      2) floor1_free_info
0001dd2c (  0.04%:      2) __udivsi3
00017c84 (  0.04%:      2) mdct_unroll_lap
00013694 (  0.04%:      2) vorbis_dsp_destroy
000137e4 (  0.04%:      2) vorbis_dsp_pcmout
00011cb8 (  0.02%:      1) oggpack_read
00017f00 (  0.02%:      1) mdct_backward
000139d0 (  0.02%:      1) vorbis_dsp_synthesis
00011e4c (  0.02%:      1) _ilog
0001271c (  0.02%:      1) _book_maptype1_quantvals
00017590 (  0.02%:      1) mapping_info_unpack
00015ae0 (  0.02%:      1) ogg_page_bos
00015aa0 (  0.02%:      1) ogg_page_continued
00018244 (  0.00%:      0) _VDBG_dump
000182a8 (  0.00%:      0) _VDBG_malloc
000183f4 (  0.00%:      0) _VDBG_free
0001841c (  0.00%:      0) res_clear_info
0001846c (  0.00%:      0) res_unpack
00019b7c (  0.00%:      0) ov_clear
00019d20 (  0.00%:      0) ov_test_callbacks
00019d60 (  0.00%:      0) ov_test
00019dac (  0.00%:      0) ov_streams
00019db4 (  0.00%:      0) ov_seekable
00019dbc (  0.00%:      0) ov_time_total
00019e80 (  0.00%:      0) ov_bitrate
0001a008 (  0.00%:      0) ov_bitrate_instant
0001a084 (  0.00%:      0) ov_serialnumber
0001a0fc (  0.00%:      0) ov_raw_total
0001a1ac (  0.00%:      0) ov_pcm_total
0001a250 (  0.00%:      0) ov_raw_seek
0001ab40 (  0.00%:      0) ov_test_open
0001ab58 (  0.00%:      0) ov_open_callbacks
0001abb0 (  0.00%:      0) ov_open
0001abfc (  0.00%:      0) ov_pcm_seek_page
0001b4a4 (  0.00%:      0) ov_pcm_seek
0001b8c8 (  0.00%:      0) ov_time_seek
0001ba48 (  0.00%:      0) ov_time_seek_page
0001bbc8 (  0.00%:      0) ov_raw_tell
0001bbec (  0.00%:      0) ov_pcm_tell
0001bc10 (  0.00%:      0) ov_time_tell
0001bd2c (  0.00%:      0) ov_info
0001bd70 (  0.00%:      0) ov_comment
0001be94 (  0.00%:      0) mdct_unroll_prelap
0001cb58 (  0.00%:      0) stmiaTest
0001cbbc (  0.00%:      0) strTest
0001cc3c (  0.00%:      0) smullTest
0001cc80 (  0.00%:      0) __udivdi3
0001d1f0 (  0.00%:      0) __aeabi_drsub
0001d1f8 (  0.00%:      0) __aeabi_dsub
0001d1f8 (  0.00%:      0) __subdf3
0001d1fc (  0.00%:      0) __adddf3
0001d1fc (  0.00%:      0) __aeabi_dadd
0001d4dc (  0.00%:      0) __aeabi_ui2d
0001d4dc (  0.00%:      0) __floatunsidf
0001d500 (  0.00%:      0) __floatsidf
0001d500 (  0.00%:      0) __aeabi_i2d
0001d528 (  0.00%:      0) __extendsfdf2
0001d528 (  0.00%:      0) __aeabi_f2d
0001d568 (  0.00%:      0) __aeabi_ul2d
0001d568 (  0.00%:      0) __floatundidf
0001d57c (  0.00%:      0) __floatdidf
0001d57c (  0.00%:      0) __aeabi_l2d
0001d5dc (  0.00%:      0) __aeabi_dmul
0001d5dc (  0.00%:      0) __muldf3
0001d904 (  0.00%:      0) __aeabi_ddiv
0001d904 (  0.00%:      0) __divdf3
0001db08 (  0.00%:      0) __modsi3
0001dd14 (  0.00%:      0) __aeabi_idivmod
0001de24 (  0.00%:      0) __aeabi_uidivmod
0001de3c (  0.00%:      0) __divdi3
0001e3f8 (  0.00%:      0) __umodsi3
0001e4c4 (  0.00%:      0) __aeabi_ldiv0
0001e4c4 (  0.00%:      0) __div0
0001e4c4 (  0.00%:      0) __aeabi_idiv0
0001e4c8 (  0.00%:      0) _XcptFilter
0001e4d4 (  0.00%:      0) __C_specific_handler
0001e4e0 (  0.00%:      0) LocalFree
0001e4ec (  0.00%:      0) vsprintf
0001e504 (  0.00%:      0) fopen
0001e510 (  0.00%:      0) fwrite
0001e51c (  0.00%:      0) fread
0001e528 (  0.00%:      0) GetThreadTimes
0001e534 (  0.00%:      0) Sleep
0001e54c (  0.00%:      0) fclose
0001e558 (  0.00%:      0) memset
0001e564 (  0.00%:      0) GetThreadContext
0001e570 (  0.00%:      0) malloc
0001e57c (  0.00%:      0) CreateThread
0001e588 (  0.00%:      0) SetThreadPriority
0001e594 (  0.00%:      0) free
0001e5a0 (  0.00%:      0) calloc
0001e5ac (  0.00%:      0) realloc
0001e5b8 (  0.00%:      0) memchr
0001e5c4 (  0.00%:      0) toupper
0001e5d0 (  0.00%:      0) strlen
0001e5dc (  0.00%:      0) strcpy
0001e5e8 (  0.00%:      0) memcmp
0001e5f4 (  0.00%:      0) _getstdfilex
0001e600 (  0.00%:      0) fprintf
0001e60c (  0.00%:      0) fseek
0001e618 (  0.00%:      0) memcpy
0001e624 (  0.00%:      0) ftell
0001f418 (  0.00%:      0) start_time
00028764 (  0.00%:      0) FLOOR_fromdB_LOOKUP
00028b88 (  0.00%:      0) sincos_lookup0
00029b90 (  0.00%:      0) sincos_lookup1
0002ada4 (  0.00%:      0) __clz_tab
0002d014 (  0.00%:      0) global_bytes
0002d030 (  0.00%:      0) __onexitbegin
0002d034 (  0.00%:      0) __onexitend
0002d038 (  0.00%:      0) _exitflag
0002d03c (  0.00%:      0) pcmout
0002e03c (  0.00%:      0) ref
0002f03c (  0.00%:      0) text
0003003c (  0.00%:      0) speedblock
00039000 (  0.00%:      0) __IMPORT_DESCRIPTOR_COREDLL
00039014 (  0.00%:      0) __NULL_IMPORT_DESCRIPTOR
000390b8 (  0.00%:      0) __imp__XcptFilter
000390bc (  0.00%:      0) __imp___C_specific_handler
000390c0 (  0.00%:      0) __imp_LocalFree
000390c4 (  0.00%:      0) __imp_vsprintf
000390c8 (  0.00%:      0) __imp_OutputDebugStringW
000390cc (  0.00%:      0) __imp_fopen
000390d0 (  0.00%:      0) __imp_fwrite
000390d4 (  0.00%:      0) __imp_fread
000390d8 (  0.00%:      0) __imp_GetThreadTimes
000390dc (  0.00%:      0) __imp_Sleep
000390e0 (  0.00%:      0) __imp_fputc
000390e4 (  0.00%:      0) __imp_fclose
000390e8 (  0.00%:      0) __imp_memset
000390ec (  0.00%:      0) __imp_GetThreadContext
000390f0 (  0.00%:      0) __imp_malloc
000390f4 (  0.00%:      0) __imp_CreateThread
000390f8 (  0.00%:      0) __imp_SetThreadPriority
000390fc (  0.00%:      0) __imp_free
00039100 (  0.00%:      0) __imp_calloc
00039104 (  0.00%:      0) __imp_realloc
00039108 (  0.00%:      0) __imp_memchr
0003910c (  0.00%:      0) __imp_toupper
00039110 (  0.00%:      0) __imp_strlen
00039114 (  0.00%:      0) __imp_strcpy
00039118 (  0.00%:      0) __imp_memcmp
0003911c (  0.00%:      0) __imp__getstdfilex
00039120 (  0.00%:      0) __imp_fprintf
00039124 (  0.00%:      0) __imp_fseek
00039128 (  0.00%:      0) __imp_memcpy
0003912c (  0.00%:      0) __imp_ftell
0003a000 (  0.00%:      0) __xc_a
0003a004 (  0.00%:      0) __xc_z
0003a008 (  0.00%:      0) __xi_a
0003a00c (  0.00%:      0) __xi_z
0003a010 (  0.00%:      0) __xp_a
0003a014 (  0.00%:      0) __xp_z
0003a018 (  0.00%:      0) __xt_a
0003a01c (  0.00%:      0) __xt_z
00011008 (  0.00%:      0) WinMainCRTStartup
00011078 (  0.00%:      0) _cinit
000110d8 (  0.00%:      0) exit
000111b8 (  0.00%:      0) _exit
000111c4 (  0.00%:      0) _cexit
000111d4 (  0.00%:      0) _c_exit
000111e4 (  0.00%:      0) Output
000112b0 (  0.00%:      0) main2
000115c8 (  0.00%:      0) WinMain
00011604 (  0.00%:      0) speedtest
000117c8 (  0.00%:      0) Profile_dump
00011a54 (  0.00%:      0) oggpack_eop
00011a68 (  0.00%:      0) oggpack_bytes
00011c80 (  0.00%:      0) oggpack_readinit
0001279c (  0.00%:      0) vorbis_book_clear
00012fd8 (  0.00%:      0) vorbis_book_decode
00013230 (  0.00%:      0) vorbis_book_decodevs_add
000132f8 (  0.00%:      0) vorbis_book_decodev_add
00013578 (  0.00%:      0) vorbis_dsp_restart
000135e0 (  0.00%:      0) vorbis_dsp_create
00013910 (  0.00%:      0) vorbis_dsp_read
00013950 (  0.00%:      0) vorbis_packet_blocksize
00013dd0 (  0.00%:      0) floor0_free_info
00013ddc (  0.00%:      0) floor0_info_unpack
00013eec (  0.00%:      0) floor0_memosize
00013ef8 (  0.00%:      0) floor0_inverse1
00014054 (  0.00%:      0) vorbis_lsp_to_curve
000146b8 (  0.00%:      0) floor0_inverse2
00014e94 (  0.00%:      0) floor1_memosize
00015b20 (  0.00%:      0) ogg_page_eos
00015c68 (  0.00%:      0) ogg_page_pageno
00015ca8 (  0.00%:      0) ogg_page_packets
00015d0c (  0.00%:      0) ogg_sync_create
00015d60 (  0.00%:      0) ogg_sync_reset
00016260 (  0.00%:      0) ogg_sync_pageout
000162a8 (  0.00%:      0) ogg_stream_create
000164c8 (  0.00%:      0) ogg_stream_reset_serialno
000169e8 (  0.00%:      0) ogg_stream_packetout
000169f0 (  0.00%:      0) ogg_stream_packetpeek
000169f8 (  0.00%:      0) ogg_page_dup
00016a68 (  0.00%:      0) vorbis_comment_init
00016adc (  0.00%:      0) vorbis_comment_query
00016bb0 (  0.00%:      0) vorbis_comment_query_count
00016c60 (  0.00%:      0) vorbis_comment_clear
00016cec (  0.00%:      0) vorbis_info_blocksize
00016d00 (  0.00%:      0) vorbis_info_init
00016d48 (  0.00%:      0) vorbis_info_clear
00016ef8 (  0.00%:      0) vorbis_dsp_headerin
00017514 (  0.00%:      0) mapping_clear_info
